Year,Extroversion,Text Recipients,Sleep Hours,Handedness,Sleep Position,Piercings
1,5,2,8,Right-handed,On your left side,0
2,6,3,7,Right-handed,On your right side,0
2,7,8,8,Right-handed,On your left side,0
1,5,3,7,Right-handed,On your left side,7
1,7,3,7,Right-handed,On your right side,2
1,7,3,5,Right-handed,On your right side,1
1,4,5,6,Right-handed,On your left side,5
2,8,20,7,Left-handed,On your stomach,2
1,6,3,8,Right-handed,On your back,0
1,4,10,6.5,Right-handed,On your right side,0
2,5,15,7,Right-handed,On your left side,2
1,8,10,5,Right-handed,On your left side,2
5,6,4,6,Right-handed,On your back,2
1,4,7,7,Right-handed,On your back,1
4,3,3,7,Right-handed,On your right side,2
4,2,3,7,Right-handed,On your stomach,3
3,3,4,6,Right-handed,On your back,0
1,7,4,7,Right-handed,On your right side,0
2,4,6,6,Right-handed,On your left side,2
1,7,15,7,Right-handed,On your back,2
1,4,5,8.5,Right-handed,On your right side,2
1,8,5,6,Right-handed,On your right side,0
2,7,10,8,Right-handed,On your right side,0
1,8,12,8,Right-handed,On your stomach,1
3,5,1,4,Right-handed,On your right side,2
1,3,4,6,Right-handed,On your left side,0
1,6,6,6.5,Right-handed,On your back,3
1,3,10,7,Right-handed,On your back,0
1,6,10,8,Right-handed,On your left side,2
1,2,8,8,Right-handed,On your left side,2
1,8,4,7,Right-handed,On your right side,2
2,3,8,6,Right-handed,On your right side,3
1,7,7,7,Right-handed,On your right side,7
1,5,4,6,Right-handed,On your right side,1
2,8,5,7,Left-handed,On your stomach,2
1,8,4,6,Right-handed,On your left side,1
1,7,16,7,Right-handed,On your stomach,2
4,6,5,7,Right-handed,On your stomach,2
4,7,3,7,Right-handed,On your right side,0
3,4,2,10,Right-handed,On your stomach,0
1,2,2,5,Right-handed,On your right side,4
1,2,0,8,Right-handed,On your back,2
1,3,10,7.5,Right-handed,On your right side,0
2,5,4,6,Right-handed,On your right side,5
3,4,3,6,Right-handed,On your right side,2
2,5,5,7,Right-handed,On your stomach,0
3,8,8,8,Right-handed,On your right side,0
1,4,15,6,Right-handed,On your right side,4
1,7,4,7,Right-handed,On your right side,7
2,4,2,6,Right-handed,On your back,1
1,3,6,7,Right-handed,On your right side,3
4,6,5,7,Right-handed,On your right side,2
3,8,12,9,Right-handed,On your right side,4
3,7,2,6,Right-handed,On your stomach,0
1,7,4,8,Right-handed,On your right side,4
1,5,6,9,Right-handed,On your stomach,0
1,3,6,8,Right-handed,On your back,2
1,7,15,7,Right-handed,On your stomach,2
3,6,5,7,Right-handed,On your right side,0
4,5,4,9,Right-handed,On your right side,0
1,7,2,7,Right-handed,On your right side,0
1,6,7,8,Right-handed,On your left side,6
1,3,4,7,Right-handed,On your right side,3
4,6,5,6,Right-handed,On your back,1
1,6,8,8,Right-handed,On your back,0
1,3,3,6,Right-handed,On your back,9
1,8,7,7,Right-handed,On your left side,0
1,5,5,7,Right-handed,On your back,0
3,4,2,8,Right-handed,On your right side,0
1,7,3,7,Right-handed,On your right side,4
1,4,6,7,Right-handed,On your right side,4
1,6,5,7,Right-handed,On your right side,4
1,4,4,8,Right-handed,On your left side,0
3,3,3,8,Right-handed,On your back,6
2,7,3,5,Right-handed,On your left side,2
1,6,10,7,Right-handed,On your back,0
1,8,5,6,Right-handed,On your right side,2
1,7,5,7,Right-handed,On your left side,2
1,5,30,8,Right-handed,On your back,2
1,4,8,6,Right-handed,On your right side,0
4,1,2,7,Right-handed,On your back,2
1,4,4,7,Right-handed,On your back,2
1,7,5,7,Right-handed,On your back,0
1,3,1,10,Right-handed,On your back,2
2,7,8,8,Right-handed,On your back,7
1,7,3,6,Right-handed,On your right side,2
1,5,3,9,Right-handed,On your right side,2
3,4,5,7,Right-handed,On your back,0
2,7,5,9,Right-handed,On your right side,5
1,4,2,7,Right-handed,On your back,3
4,9,2,8,Right-handed,On your back,2
1,7,30,7,Right-handed,On your right side,1
1,6,8,7,Right-handed,On your right side,2
1,8,13,8,Right-handed,On your stomach,5
1,2,3,8,Right-handed,On your right side,0
3,5,5,7,Right-handed,On your left side,6
1,5,1,7,Right-handed,On your stomach,2
1,6,3,7,Right-handed,On your left side,2
1,8,30,7,Right-handed,On your back,0
3,6,3,6,Right-handed,On your left side,2
1,3,2,5.5,Right-handed,On your back,2
1,6,6,5,both,On your stomach,10
1,8,8,7,Right-handed,On your right side,2
1,5,3,6,Right-handed,On your right side,2
2,4,3,7,Right-handed,On your left side,4
1,8,20,8,Right-handed,On your right side,1
1,5,6,7,Right-handed,On your left side,3
2,5,2,7,Right-handed,On your back,3
1,8,16,7,Right-handed,On your right side,0
1,5,5,7,Right-handed,On your right side,2
2,4,8,7.5,Right-handed,On your left side,2
1,7,5,8,Right-handed,On your right side,0
1,8,5,9,Right-handed,On your left side,0
1,8,5,6,Right-handed,On your back,0
5,9,4,8,Left-handed,On your left side,6
2,7,3,7,Right-handed,On your right side,12
1,4,8,8,Right-handed,On your stomach,0
1,7,8,8,Right-handed,On your back,0
2,5,3,6,Right-handed,On your right side,4
2,8,7,6,Right-handed,On your left side,2
4,7,3,8,Right-handed,On your left side,2
3,5,3,7,Right-handed,On your right side,2
3,3,6,8,Right-handed,On your left side,0
1,7,5,7,Right-handed,On your right side,0
1,6,3,8,Right-handed,On your back,0
4,3,1,8,Right-handed,On your left side,3
1,8,7,8,Right-handed,On your stomach,3
2,5,3,9,Right-handed,On your left side,2
3,5,2,6,Right-handed,On your right side,0
3,3,2,7,Right-handed,On your back,0
3,6,7,7,Right-handed,On your right side,6
2,6,10,6,Right-handed,On your stomach,4
1,7,2,7,Right-handed,On your left side,2
1,8,10,7,Right-handed,On your left side,0
2,8,4,7,Right-handed,On your back,2
